FazendaNome,Data,Metragem,DensidadeSeca,Umidade
SANTA ANA,2020-06-05,76.0,232.895,5.59
SANTA ANA,2020-06-20,76.5,238.039,3.35
SANTA ANA,2020-06-30,8.8,270.16,7.58
SANTA ANA,2020-05-22,72.0,248.338,4.09
SANTA ANA,2020-05-24,68.2,247.636,5.56
SANTA ANA,2020-05-31,72.2,245.085,6.61
SANTA ANA,2020-06-24,76.0,217.863,4.69
SANTA ANA,2020-06-28,64.0,222.339,5.42
SANTA ANA,2020-06-29,74.0,235.706,5.06
SANTA ANA,2024-05-24,64.76,241.662,4.63
SANTA ANA,2024-05-06,73.05,248.871,6.14
SANTA ANA,2024-05-14,63.3,255.766,4.95
SANTA ANA,2020-05-18,76.3,257.317,6.56
SANTA ANA,2020-05-19,77.7,247.104,5.13
SANTA ANA,2020-05-20,73.5,266.099,6.24
SANTA ANA,2020-05-21,74.0,241.096,8.18
SANTA ANA,2020-05-28,76.0,225.968,5.05
SANTA ANA,2020-06-06,77.2,246.332,7.76
SANTA ANA,2020-06-07,77.0,237.666,5.74
SANTA ANA,2020-06-09,74.0,234.57,4.25
SANTA ANA,2020-06-11,79.0,214.274,3.74
SANTA ANA,2020-06-12,78.0,227.904,4.23
SANTA ANA,2020-06-14,81.0,217.778,4.31
